1              | 2025-05-01 | Planet Express | 12038           | 50000.0 | 2025-05-02 | True    | 2025-02-18   | 302947     |
2              | 2025-09-01 | Mom's Friendly Robot Factory | 12000 | 100000.0 | 2025-09-02 | True    | 2025-01-20   | 34847      |
3              | 2025-10-01 | Romanticorp   | 12990           | 73640.0 | 2025-10-02 | True    | 2025-02-14   | 390576     |
4              | 2025-01-18 | Hal Insitute for Criminally Insane Robots | 12010 | 12500.0 | 2025-02-18 | True    | 2025-01-02   | 29304      |
5              | 2025-01-21 | Cookieville Minimum‑Security Orphanarium | 11900 | 10000.0 | 2025-02-21 | True    | 2025-10-02   | 3837459    |
6              | 2025-01-29 | Panucci's Pizza | 12933           | 1000.0  | 2025-02-28 | True    | 2025-02-28   | 39506      |
7              | 2025-02-02 | Planet Express | 12038           | 12300.0 | 2025-02-03 | None    | None         | None       |
8              | 2025-02-02 | Romanticorp   | 12990           | 50000.0 | 2025-02-03 | None    | None         | None       |
9              | 2025-03-02 | Malfunctioning Eddie's Rocket‑Car Emporium | 12230 | 76000.0 | 2025-03-03 | None    | None         | None       |
10             | 2025-05-02 | Cookieville Minimum‑Security Orphanarium | 11900 | 80000.0 | 2025-05-02 | True    | 2025-03-13   | 390475     |
11             | 2025-07-02 | Mom's Friendly Robot Factory | 12000 | 200000.0 | 2025-07-03 | None    | None         | None       |
12             | 2025-10-02 | Hal Insitute for Criminally Insane Robots | 12010 | 12500.0 | 2025-10-03 | None    | None         | None       |
13             | 2025-02-15 | Panucci's Pizza | 12933           | 1000.0  | 2025-03-15 | None    | None         | None       |
14             | 2025-02-18 | Democratic Order of Planets | 12001 | 120000.0 | 2025-03-18 | None    | None         | None       |
